word,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
i u,-4.4184063,-7.981414335,-7.964803518,1.214390825059028,1.214407693290877,1.0013426736719206,1.0013958357566592
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
e o,-4.407265716,-6.630017824,-6.628214356,1.2472228900995799,1.2472269226280779,1.0074138937536485,1.0074444573688497
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
u i,-4.4184063,-6.631896005,-6.627331949,1.2667174843381708,1.2667079978216051,1.0040863981319323,1.0041293474467838
