word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
b e m e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
p e g e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
n e k e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
k e t e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
d e g i,e i,training,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
t e g i,e i,training,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
n e d i,e i,training,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
m e k i,e i,training,TRUE,-3.278985186,-3.084222176,-3.084523767,1.4092240120012998,1.4092092650390706,1.073271642347676,1.0732286765733452
k i p i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
d i m i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
t i d i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
n i b i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
t i p e,i e,training,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
p i n e,i e,training,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
g i b e,i e,training,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
p i m e,i e,training,TRUE,-3.278985186,-6.478915824,-6.478924186,1.3278600667194385,1.3278528196350132,1.029380914642674,1.029370661946243
