word	score	*[+front][-front,+high]	*[+round][-high,+round]	*[-front,+high][+front,+round]	*[+front][+front,-high,+round]	*[+round][-front,+high,-round]	*[-front,+round][+front,+high,+round]	*[+front,-high,+round][-front]	*[+front,-high,+round][+high,-round]	*[-front,+high,-round][-front,+round]	*[+high,-round][+front,+high,+round]	*[-high,-round][+front,+round]	*[-front,+high][+front]	*[+front,+round][+front,+high,-round]	*[+front,-high,-round][-front,-high,+round]	*[-high,+round][+high,-round]	*[+front,+high,-round][-front,-high,+round]	*[+front,+round][-front,-high]	*[+high,+round][-high,+round]	*[-high,+round][+front]	*[-front,-round][-front,+round]	*[-front,+high,+round][-front,+high,-round]	*[-high,+round][+front,-high,+round]	*[-front,-high][+front,+round]	*[-round][+front,+round]	*[-front,+high][+front,+high]	*[+front,-round][+front,+round]	*[+word_boundary][-front,+high,-round]	*[-high,+round][-front,+high]	*[+front][-front,+high,-round]	*[+high][+front,+round]	*[+front,+high][-front,+high]	*[-front,+round][-front,+high,-round]	*[-front,+high,-round][+high,+round]	*[+front,-high,+round][-front,+high,+round]	*[-high,+round][-front,+high,-round]	*[+word_boundary][+round]	*[+front,-round][-front,-high]	*[+front,+round][+high,-round]	*[+high,-round][+front,-round]	*[-front,-high][+front,-high]	*[+high][+front,-high,+round]	*[+high,+round][-front,+high,-round]	*[-front,+high][-front,+round]	*[+front,-high,+round][-front,-high]	*[+front,-round][-front,+high,-round]	*[-high,+round][+front,+round]	*[+high,+round][-front,-high,+round]	*[+high,-round][+high,+round]	*[-high,+round][+front,+high,-round]	*[+front,-high,+round][-high]	*[-front,+high,-round][+front,-high]	*[-front,-high,+round][+front]	*[+front,-high][-front,+high]	*[+front,+round][-front,+high,+round]	*[+front,-round][-front,+round]	*[-front,+round][+front,-high]	*[-high,+round][+front,+high]	*[-front][+front,+high]	*[+word_boundary][+front,+round]	*[-front,+round][-front,-high]	*[-front,+high,-round][-high,-round]	*[+front,+high][-front,+high,-round]	*[-front,+high][+high,-round]	*[-front,-high][-front,-high,+round]	*[+front,-high][-front,+high,-round]	*[+front,-high][+front,-high]	*[+front,+high,-round][-front,+high]	*[-high,+round][-front,-high,-round]	*[+word_boundary][-front,+high,+round]	*[+front,+high][-front,+high,+round]	*[-high][-front,+high,+round]	*[+high,-round][+front,-high,-round]	*[-high,+round][+word_boundary]	*[-front,+round][+front,-high,-round]	*[+front,-high,-round][-front,+high,-round]	*[-front,-high,+round][-front,+high,-round]	*[-front,-high][+front,+high,+round]	*[+front,-round][+front,+high,+round]	*[-front,+high,-round][+word_boundary]	*[+high,+round][+front,-high,-round]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	1.06	1.04	0.295	0.885	0.712	1.087	0.693	0.884	0.832	0.006	0.435	0.931	1.565	0.529	0.115	0.29	1.266	0.387	0.42	1.18	1.036	0.358	0.521	0.948	0.656	0.838	0.883	0.633	0.429	0.617	0.553	1.787	0.86	1.113	0	0.325	0.915	0.491	0.594	0.866	0.435	0.908	0.506	0.528	1.504	0.479	0.459	0.73	0.311	0.378	0.244	0.112	0.508	0.911	0.538	0.169	0.433	0.453	0.542	0.358	0.676	0.376	0.146	0.041	0.054	0.3	0.881	0.655	0.477	0.177	0.492	0.324	0.63	0.55	1.001	0.752	0.576	0.621	0.287	0.239	annotation
e e 	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
u o 	4.184	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	
o i 	2.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
y U 	5.683	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
a y 	2.933	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
U e 	3.652	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
o U 	4.612	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
u U 	5.679	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	
U U 	1.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
