word,ortho
n i n u v,ninuv
n i ɾ o h,niroh
n i v y j,nivüy
n i m ø h,nimöh
n i m ɯ h,nimıh
n i l e s,niles
n y n i v,nüniv
n y n y j,nünüy
n y n u s,nünus
n y n a j,nünay
n y n o s,nünos
n y h e j,nühey
n y m ø s,nümös
n y m ɯ j,nümıy
n y g o h,nügoh
n e n u v,nenuv
n e p y j,nepüy
n e m ø h,nemöh
n e m ɯ v,nemıv
n e m o h,nemoh
n e l e s,neles
n ø n y j,nönüy
n ø t i v,nötiv
n ø t u j,nötuy
n ø t a j,nötay
n ø m ø h,nömöh
n ø m ɯ j,nömıy
n ø m o s,nömos
n ɯ t i v,nıtiv
n ɯ t y j,nıtüy
n ɯ t u j,nıtuy
n ɯ t a j,nıtay
n ɯ t o j,nıtoy
n ɯ d͡ʒ ɯ ʒ,nıcıj
n ɯ ʒ ɯ ʒ,nıjıj
n ɯ ʒ ɯ v,nıjıv
n ɯ ʒ a j,nıjay
n ɯ ʒ a v,nıjav
n ɯ ʒ o h,nıjoh
n ɯ v ø c,nıvök
n ɯ m ø h,nımöh
n ɯ m ɯ j,nımıy
n ɯ c i v,nıkiv
n ɯ c i c,nıkik
n ɯ c y j,nıküy
n ɯ c e h,nıkeh
n ɯ c e c,nıkek
n ɯ l e ɾ,nıler
n ɯ g u v,nıguv
n u n u ɫ,nunul
n u n o m,nunom
n u t i v,nutiv
n u t y j,nutüy
n u t a s,nutas
n u d͡ʒ o h,nucoh
n u ʒ ɯ h,nujıh
n u ʒ ɯ ʒ,nujıj
n u ʒ u v,nujuv
n u ʒ a v,nujav
n u ʒ o h,nujoh
n u v ø h,nuvöh
n u m ø s,numös
n u m ɯ s,numıs
n u c i v,nukiv
n u c i c,nukik
n u c y j,nuküy
n u c y c,nukük
n u c e j,nukey
n u c e c,nukek
n u c ø c,nukök
n u l e ɾ,nuler
n u g u v,nuguv
n u g a v,nugav
t i t e n,titen
t i s ø ɾ,tisör
t i ɾ i n,tirin
t i m y ɾ,timür
t i k ɯ ɾ,tikır
t i k u ɾ,tikur
t i k a n,tikan
t i k o n,tikon
t e ɾ i n,terin
t e ɾ a n,teran
t e m y ɾ,temür
t e k o n,tekon
t ø ɾ i n,törin
t ø ɾ a n,töran
t ø ɾ o n,töron
t ø l e ɾ,töler
t a ɟ e z,tagez
d a d͡ʒ y c,dacük
t͡ʃ y f i c,çüfik
t͡ʃ e ʒ ø z,çejöz
t͡ʃ e ʒ u ʒ,çejuj
t͡ʃ ø t͡ʃ ø z,çöçöz
t͡ʃ ø z i z,çöziz
t͡ʃ ø z y z,çözüz
t͡ʃ ø z e z,çözez
t͡ʃ ø z ɯ z,çözız
t͡ʃ ø j u z,çöyuz
t͡ʃ ø j o ʒ,çöyoj
t͡ʃ ø j o p,çöyop
t͡ʃ ø v e ʒ,çövej
t͡ʃ ø v a n,çövan
t͡ʃ ø v a ʒ,çövaj
t͡ʃ ø ɟ y z,çögüz
t͡ʃ ø ɟ ø z,çögöz
t͡ʃ u ɫ a ʒ,çulaj
t͡ʃ o ɫ a ʒ,çolaj
d͡ʒ y b a ʒ,cübaj
d͡ʒ e t͡ʃ y c,ceçük
d͡ʒ e b ɯ ʒ,cebıj
d͡ʒ a m a ʒ,camaj
d͡ʒ o h ɯ ʒ,cohıj
s ø ɾ y ɾ,sörür
s ø ɾ e ɾ,sörer
s ø ɾ ø ɾ,sörör
s ø ɾ ɯ ɾ,sörır
s ø ɾ u ɾ,sörur
s ø ɟ e v,sögev
ʃ i ʒ a z,şijaz
ʃ e z u ʒ,şezuj
ʃ u ʒ ø ʃ,şujöş
ʃ u ɟ y ɾ,şugür
ʃ o ʃ e ʒ,şoşej
h i ʒ o ʃ,hijoş
h ø ʒ ɯ ʃ,höjış
h u h e c,huhek
h a t͡ʃ ø z,haçöz
h a h a ʒ,hahaj
h a ʒ i z,hajiz
h a ʒ y z,hajüz
h a ʒ u z,hajuz
h a ʒ u ʒ,hajuj
h a ʒ a ʒ,hajaj
h a ʒ o ʒ,hajoj
h a j o ʒ,hayoj
h a v e ʒ,havej
h a c i z,hakiz
h a ɟ y ʒ,hagüj
z i ʃ u ʒ,zişuj
z ø ʒ i l,zöjil
z ɯ f ø ʒ,zıföj
z o ɟ i t,zogit
j a b u ʒ,yabuj
j a c ø t͡ʃ,yaköç
j o b u ʒ,yobuj
j o c ø f,yoköf
p ɯ h i c,pıhik
p u h i c,puhik
b i t͡ʃ ø z,biçöz
b i d͡ʒ ɯ z,bicız
b i h a z,bihaz
b i h a ʒ,bihaj
b i j e l,biyel
b i j u z,biyuz
b i j o ʒ,biyoj
b i j o p,biyop
b i f i z,bifiz
b i f e ʒ,bifej
b i ɟ ø z,bigöz
b y t͡ʃ ɯ ʒ,büçıj
b e t͡ʃ ø z,beçöz
b e d͡ʒ y z,becüz
b e d͡ʒ ɯ z,becız
b e ʒ i l,bejil
b e ʒ y z,bejüz
b e ʒ u z,bejuz
b e ʒ a v,bejav
b e j o ʒ,beyoj
b e j o p,beyop
b e v i z,beviz
b e v e z,bevez
b e v e ʒ,bevej
b e v u z,bevuz
b e v a z,bevaz
b e v a ʒ,bevaj
b ø t͡ʃ u ʒ,böçuj
b ɯ d a ʒ,bıdaj
b u t͡ʃ ø z,buçöz
b u ʃ ɯ z,buşız
b u h a ʒ,buhaj
b u z i z,buziz
b u z e ʒ,buzej
b u ʒ i z,bujiz
b u ʒ u z,bujuz
b u j ɯ ʒ,buyıj
b u j u ʒ,buyuj
b u j o ʒ,buyoj
b u p o n,bupon
b u m e l,bumel
b u m u z,bumuz
b a d͡ʒ ɯ z,bacız
b a ʒ i n,bajin
b a j o p,bayop
b a b u z,babuz
b a ɟ ø z,bagöz
b o z y z,bozüz
b o ʒ i n,bojin
b o ʒ i l,bojil
b o ʒ y z,bojüz
b o ʒ e n,bojen
b o ʒ e l,bojel
b o ʒ ø z,bojöz
b o ʒ u z,bojuz
b o ʒ u ɾ,bojur
b o ʒ a n,bojan
b o ʒ a ʒ,bojaj
b o ʒ o j,bojoy
