word,ortho
n ɯ n ɯ j,nınıy
b o ʒ o ʒ,bojoj
m e s a n,mesan
m a t e t,matet
m a k a n,makan
l e ɾ u ɾ,lerur
j o ʒ y n,yojün
ʃ ø ʒ u z,şöjuz
b ø c ø ɾ,bökör
ɟ ø t͡ʃ ɯ p,göçıp
d o ɟ y c,dogük
b ø ʒ i ʒ,böjij
h ø ɟ y l,högül
j y d ø z,yüdöz
g ɯ ʃ ø n,gışön
s o ʒ a ʒ,sojaj
b a ʒ ø ɾ,bajör
f u ɟ ø ʒ,fugöj
f ɯ j y c,fıyük
p o ʒ o z,pojoz
ʃ y ʒ u ʒ,şüjuj
p u ʒ y ʃ,pujüş
c ø ʒ u z,köjuz
b ø ʒ y ʒ,böjüj
j ø ʒ ø z,yöjöz
v a ʒ ø v,vajöv
p ø ɟ ø ɾ,pögör
k u ʒ o ʒ,kujoj
ɟ ø k o ʒ,gökoj
b u n o ʒ,bunoj
s ø ɟ e f,sögef
h e ʒ ø ʒ,hejöj
j y ɟ y ʒ,yügüj
b ø ʒ e ʒ,böjej
b ø ʒ ø ʒ,böjöj
b ø ʒ o ʒ,böjoj
b ɯ d͡ʒ i c,bıcik
b a ʒ ø f,bajöf
b ø d͡ʒ o ʒ,böcoj
k o ʒ ø p,kojöp
h ø j o ʒ,höyoj
j o ɟ ø l,yogöl
ʃ ɯ ɟ ø ʒ,şıgöj
c y m y ʃ,kümüş
t͡ʃ ɯ ɟ ø ɾ,çıgör
p o ɟ y ʒ,pogüj
p ɯ ɟ ø z,pıgöz
j ø ɟ y ʒ,yögüj
ɟ ø ɟ ø z,gögöz
ɟ ø ɟ ø t͡ʃ,gögöç
z o ɟ ø l,zogöl
t i ɟ y c,tigük
v i f ø v,viföv
ɟ y z o k,güzok
ɟ ø l y v,gölüv
z ø ɟ i c,zögik
n ø ʒ ø l,nöjöl
ʃ y c ø c,şükök
ɟ ø j o j,göyoy
ʃ ø l ø c,şölök
z ø l ø c,zölök
ɟ ø l e j,göley
l e ɟ ø c,legök
c i v ø c,kivök
ɟ y l ø c,gülök
ɟ e g o j,gegoy
d͡ʒ o ɟ ø t,cogöt
f y z o ʒ,füzoj
h ø ɟ y s,högüs
b ø ʒ u ʒ,böjuj
ɫ u ɟ ø c,lugök
t͡ʃ ø c ø ɾ,çökör
g o ʒ ø c,gojök
ɟ ø z u f,gözuf
d ø ɟ ø l,dögöl
j o ʒ y ʒ,yojüj
g o ʒ u ɾ,gojur
ɟ ø c e h,gökeh
ɟ ø g ɯ ʒ,gögıj
ɟ i ɟ y j,gigüy
c e ɟ ø ʒ,kegöj
s ø ɟ ø f,sögöf
t͡ʃ ø ɟ ø f,çögöf
c i v e v,kivev
p y ʒ ø n,püjön
b ø ʒ a ʒ,böjaj
j y ʃ y c,yüşük
z ø ʒ ø h,zöjöh
d͡ʒ o ʒ y ʒ,cojüj
g u j ø ʒ,guyöj
g ɯ ɟ ø v,gıgöv
l y c e ʒ,lükej
ɟ y ɟ e j,gügey
v y ɟ i c,vügik
g o ɟ ø ʃ,gogöş
t͡ʃ ø c ø c,çökök
s a c e ʒ,sakej
l e t e ʒ,letej
z o ʒ o f,zojof
j i h ø c,yihök
p u ʒ ɯ m,pujım
t u l y c,tulük
b y ɟ y ʒ,bügüj
f ø ɟ y f,fögüf
v u ɟ y t͡ʃ,vugüç
ɟ ø n y c,gönük
ʃ ø ɟ ø t͡ʃ,şögöç
s ø ʒ o ʒ,söjoj
d o ɟ ø ʒ,dogöj
ɟ e ʃ ø c,geşök
ɟ i ʒ y c,gijük
l i ɟ y c,ligük
ɟ ø c i ʒ,gökij
