"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"d͡ʒ a m a ʒ","camaj","aa",-17.752742677818908,-17.085266867347194,-17.226367434005237,1.5259583015742766,1.0324208128726595,1.5253144134357843,1.0308841077133883,6,"camaj.mp3","Task",1
"g a v e n","gaven","ae",-16.239688851845823,-13.908186943802582,-13.954428963263789,1.5116455492031928,1.0347739691193514,1.51100876623818,1.033012423159234,6,"gaven.mp3","Task",1
"ɫ a l e ɾ","laler","ae",-15.163099753645444,-19.935814013412397,-19.57616384349032,1.474127120354203,1.0201936391485853,1.473554395483853,1.0192033602125234,6,"laler.mp3","Task",1
"b a ʒ i n","bajin","ai",-17.80349425450386,-14.791020439297638,-14.925564091251209,1.5193623891917725,1.0328627171294904,1.518711994390168,1.0312294576154004,6,"bajin.mp3","Task",1
"b a j o p","bayop","ao",-17.147287610817873,-14.064023784516072,-14.101916418410518,1.4125267904421874,1.0381955836146763,1.4120889097497351,1.0363910290645393,6,"bayop.mp3","Task",1
"h a j o ʒ","hayoj","ao",-19.70425756699943,-16.051747969710995,-16.174734890728512,1.375285896549857,1.0416275407035844,1.374918035761362,1.0396478965275615,6,"hayoj.mp3","Task",1
"ɫ a g u v","laguv","au",-17.315515257959518,-22.20438998670757,-22.1942114842724,1.3402216073124982,1.0047777004065963,1.3399090365344333,1.0047377633341297,6,"laguv.mp3","Task",1
"g a m y z","gamüz","ay",-17.355373317181197,-14.240338449458276,-14.287440891901769,1.3908659418471938,1.0224670797058462,1.390465006547887,1.02149027043917,6,"gamüz.mp3","Task",1
"k a m y ɾ","kamür","ay",-14.60533667129042,-12.566891947703592,-12.592572980919178,1.5244462014259983,1.062697489208468,1.5237936084044486,1.0595720312963168,6,"kamür.mp3","Task",1
