Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Randomise questionnaire elements?,response-1,response-1-text,response-1-quantised,response-gender,response-impairment,response-impairment-text,response-impairment-quantised,response-native,response-fluency,response-where,response-aoa,END QUESTIONNAIRE
1,1701392110614,01/12/2023 00:55:10,1701392108413,1,01/12/2023 01:55:08,146089,8,questionnaire-ir4a,,33341101,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Language Background,6,SoundCheckPassed,1,test passed,6,,,,,,yes,No,25-35,,2,Erkek,Hayır,,2,Evet,İngilizce (15 senedir) Almanca (3 senedir),Anadilim,3,67093
1,1701392340788,01/12/2023 00:59:00,1701392341494,1,01/12/2023 01:59:01,146089,8,questionnaire-ir4a,,33341132,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Language Background,6,SoundCheckPassed,6,test passed,,,,,,5,yes,No,25-35,,2,Erkek,Hayır,,2,Turkce ana dilim,Ingilizce - 12 yasinda,Aile,0,45924
1,1701392666111,01/12/2023 01:04:26,1701392665870,-5,30/11/2023 20:04:25,146089,8,questionnaire-ir4a,,33341168,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Language Background,6,SoundCheckPassed,3,test passed,,,6,,,,yes,No,18-25,,1,Erkek,Hayır,,2,Evet,İngilizce,Aile,2,52625
1,1701392841033,01/12/2023 01:07:21,1701392840917,-5,30/11/2023 20:07:20,146089,8,questionnaire-ir4a,,33341188,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Language Background,6,SoundCheckPassed,4,test passed,,,,1,,,yes,No,25-35,,2,Erkek,Hayır,,2,Evet anadilim.,Ingilizce (20 yasinda ogrendim),"Anadilim, Turkiye'de dogdum buyudum",1,54158
1,1701392964250,01/12/2023 01:09:24,1701392964391,-5,30/11/2023 20:09:24,146089,8,questionnaire-ir4a,,33341206,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1323,,,,Language Background,6,SoundCheckPassed,2,test passed,,4,,,,,yes,No,18-25,,1,Kadin,Hayır,,2,Ana dilim türkçe,"İngilizce(16),Azerice(6)",Ailemden,0,71620
1,1701393730126,01/12/2023 01:22:10,1701393733074,-5,30/11/2023 20:22:13,146089,8,questionnaire-ir4a,,33341333,BLIND,9871938,,complete,,656934f22403f862cd7b8ac7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x707,,,,Language Background,6,SoundCheckPassed,5,test passed,,,,,1,,yes,No,25-35,,2,Kadin,Hayır,,2,Evet, ingilizce. Yaklasik 7 yasinda ogrenmeye basladim,Ana dilim,2,62973
1,1701394035026,01/12/2023 01:27:15,1701394034226,11,01/12/2023 12:27:14,146089,8,questionnaire-ir4a,,33341382,BLIND,9871944,,complete,,6569361469aa56111e0d56c6,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1188x571,,,,Language Background,6,SoundCheckPassed,1,test passed,2,,,,,,yes,No,25-35,,2,Erkek,Hayır,,2,Ana dil,Ingilizce -17,Ana dil,0,40715
1,1701394070780,01/12/2023 01:27:50,1701394070540,10,01/12/2023 11:27:50,146089,8,questionnaire-ir4a,,33341391,BLIND,9871950,,complete,,656936732e961f9dd4da7296,mobile,Apple iPhone,iOS 17.1,Chrome 119.0.6045.169,430x932,430x745,,,,Language Background,6,SoundCheckPassed,6,test passed,,,,,,4,yes,No,35-45,,3,kadin,Hayır,,2,turkce ana dilim,"ingilizce 11 yas, almanca 14 yas",ailemden,0,43048
1,1701395310851,01/12/2023 01:48:30,1701395310627,-6,30/11/2023 19:48:30,146089,8,questionnaire-ir4a,,33341497,BLIND,9871989,,complete,,65693b2ce4535adae82342af,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x814,,,,Language Background,6,SoundCheckPassed,3,test passed,,,4,,,,yes,No,18-25,,1,Erkek,Hayır,,2,Evet,İngilizce çocukluğumdan beri konuşurum.,Ana dilim,0,60604
1,1701396526270,01/12/2023 02:08:46,1701396527445,3,01/12/2023 05:08:47,146089,8,questionnaire-ir4a,,33341590,BLIND,9872014,,complete,,65693ff403a08dc0ab41c6bd,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1440x960,1440x791,,,,Language Background,6,SoundCheckPassed,5,test passed,,,,,3,,yes,No,25-35,,2,kadın,Hayır,,2,türkçe anadilim,ingilizcce 6 yaşında öğrendim,ana dilim evden ,0,148382
1,1701399155453,01/12/2023 02:52:35,1701399155222,11,01/12/2023 13:52:35,146089,8,questionnaire-ir4a,,33341753,BLIND,9872070,,complete,,656949236b0eea2328e2d755,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,393x852,393x659,,,,Language Background,6,SoundCheckPassed,4,test passed,,,,3,,,yes,No,25-35,,2,kadın,Hayır,,2,evet,İngilizce. 10 yaş,Ailemden,1,93324
1,1701400289026,01/12/2023 03:11:29,1701400288476,10.5,01/12/2023 13:41:28,146089,8,questionnaire-ir4a,,33341835,BLIND,9872101,,complete,,65694e7b3314a65dec78e750,mobile,Apple iPhone,iOS 16.1.1,Mobile Safari 16.1,428x926,428x746,,,,Language Background,6,SoundCheckPassed,2,test passed,,1,,,,,yes,No,18-25,,1,Kadın,Hayır,,2,Evet,"ingilizce, 10",Ana dilim,2,56468
1,1701402358473,01/12/2023 03:45:58,1701402357836,-5,30/11/2023 22:45:57,146089,8,questionnaire-ir4a,,33341945,BLIND,9872129,,complete,,656956e17a9f309a332b89c5,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1280x720,1280x606,,,,Language Background,6,SoundCheckPassed,6,test passed,,,,,,2,yes,No,25-35,,2,erkek,Hayır,,2,evet,ingilizce 8 yas,anadil,0,28657
1,1701404407043,01/12/2023 04:20:07,1701404406069,11,01/12/2023 15:20:06,146089,8,questionnaire-ir4a,,33342071,BLIND,9872182,,complete,,65695eda56d3d7ca3fd50a27,computer,Desktop or Laptop,Windows 10,Firefox 119.0,1920x1080,1920x965,,,,Language Background,6,SoundCheckPassed,1,test passed,5,,,,,,yes,No,35-45,,3,Erkek,Hayır,,2,Evet,İngilizce - 17,Aile,0,25568
1,1701406409214,01/12/2023 04:53:29,1701406409776,-5,30/11/2023 23:53:29,146089,8,questionnaire-ir4a,,33342253,BLIND,9872222,,complete,,656966424bde2a6c9da09286,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x923,,,,Language Background,6,SoundCheckPassed,3,test passed,,,1,,,,yes,No,25-35,,2,Kadın,Hayır,,2,Ana dilim.,İngilizce. 7 yaşında öğrenmeye başladım,Türk'üm. Türkiye'de 27 yıl yaşadım.,0,37181
1,1701407514519,01/12/2023 05:11:54,1701407514392,-8,30/11/2023 21:11:54,146089,8,questionnaire-ir4a,,33342331,BLIND,9872253,,complete,,65696ae896dbd6323c50dbf8,mobile,Apple iPhone,iOS 17.1,Chrome 120.0.6099.50,430x932,430x745,,,,Language Background,6,SoundCheckPassed,5,test passed,,,,,6,,yes,No,18-25,,1,Erkek,Hayır,,2,evet,Ingilizce 8 yas,Turkiye,0,32435
1,1701407883665,01/12/2023 05:18:03,1701407882504,-5,01/12/2023 00:18:02,146089,8,questionnaire-ir4a,,33342369,BLIND,9872265,,complete,,65696c6c6ea276f3fef4874a,mobile,undefined K,Android 10,Chrome 119.0.0.0,360x800,360x667,,,,Language Background,6,SoundCheckPassed,2,test passed,,6,,,,,yes,No,35-45,,3,Kadın,Hayır,,2,Evet,Ingilizce 10 yaş,Anadilim,0,69901
1,1701409865649,01/12/2023 05:51:05,1701409865204,-7,30/11/2023 22:51:05,146089,8,questionnaire-ir4a,,33342518,BLIND,9872289,,complete,,656973fb0e913fda4f78ecc7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Language Background,6,SoundCheckPassed,4,test passed,,,,5,,,yes,No,35-45,,3,Kadın,Hayır,,2,Türkçe,İngilizce 9 Rusça 11 Fransızca 20 Özbekçe 6 Tatarca 12 Kırgızca 16,Ana dilim,0,87703
1,1701410362092,01/12/2023 05:59:22,1701410361869,11,01/12/2023 16:59:21,146089,8,questionnaire-ir4a,,33342561,BLIND,9872297,,complete,,656975de58327133884b3785,mobile,Apple iPhone,iOS 17.1,Chrome 119.0.6045.169,428x926,428x751,,,,Language Background,6,SoundCheckPassed,4,test passed,,,,6,,,yes,No,25-35,,2,Erkek,Hayır,,2,"Evet, Anadilim","ingilizce , 23",Ailem,3,57936
1,1701413774452,01/12/2023 06:56:14,1701413774355,0,01/12/2023 06:56:14,146089,8,questionnaire-ir4a,,33342885,BLIND,9872389,,complete,,656983552cffcd8156cf027a,mobile,Apple iPhone,iOS 16.6.1,Mobile Safari 16.6,390x844,390x664,,,,Language Background,6,SoundCheckPassed,5,test passed,,,,,4,,yes,No,35-45,,3,Erkek,Hayır,,2,Evet,"Ingilizce, 12 yaşımda öğrenmeye başladım",Anadilim,0,130831
1,1701413824286,01/12/2023 06:57:04,1701413824266,1,01/12/2023 07:57:04,146089,8,questionnaire-ir4a,,33342891,BLIND,9872391,,complete,,6569838fa782f752f59cdf7d,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1366x768,1366x607,,,,Language Background,6,SoundCheckPassed,6,test passed,,,,,,1,yes,No,25-35,,2,Erkek,Hayır,,2,Evet,İngilizce ve Almanca,Türkiye'de,0,67929
