Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1701392179217,01/12/2023 00:56:19,1701392177021,1,01/12/2023 01:56:17,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701392198253,01/12/2023 00:56:38,1701392196079,1,01/12/2023 01:56:36,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,19025.19999998808,,,,,0,1,0,,,,,,Instructions,
3,1701392205185,01/12/2023 00:56:45,1701392203007,1,01/12/2023 01:56:43,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,6922.400000035763,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701392207073,01/12/2023 00:56:47,1701392204918,1,01/12/2023 01:56:44,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,8833.100000023842,,,diş,1,1,0,0,,,,,,Audio Check,diş
5,1701392208508,01/12/2023 00:56:48,1701392206343,1,01/12/2023 01:56:46,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1420.699999988079,,,,,0,1,0,,,,,,Audio Check,diş
6,1701392208555,01/12/2023 00:56:48,1701392206345,1,01/12/2023 01:56:46,146089,8,task-axcc,,33341113,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Audio Check,9,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,,,END TASK,,,,,29324,,,,,0,1,0,,,,,,,
1,1701392387956,01/12/2023 00:59:47,1701392388638,1,01/12/2023 01:59:48,146089,8,task-axcc,,33341139,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701392393008,01/12/2023 00:59:53,1701392393703,1,01/12/2023 01:59:53,146089,8,task-axcc,,33341139,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,5017.600000023842,,,,,0,1,0,,,,,,Instructions,
3,1701392394360,01/12/2023 00:59:54,1701392395082,1,01/12/2023 01:59:55,146089,8,task-axcc,,33341139,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,1371.6999999284744,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701392395450,01/12/2023 00:59:55,1701392396171,1,01/12/2023 01:59:56,146089,8,task-axcc,,33341139,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Audio Check,9,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,2459.899999976158,,,diş,1,1,0,0,,,,,,Audio Check,diş
