lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
âmmi											l
ârız											l
açı			atʃɯ	atʃɯdʒɯ	atʃɯjɯm	atʃɯjɯ	atʃɯm				l
ansuit											l
işteş											l
iştial											l
iştial *											l
iştibah											l
iştidad											l
iştigal											l
iştiha			iʃtiha:	iʃtiha:dʒɯ	iʃtiha:jɯm	iʃtiha:jɯ	iʃtiha:m				l
iştihar											l
iştikâ											l
iştikak											l
ant											l
iştira											l
iştirak			iʃtiɾak		iʃtiɾa:kim	iʃtiɾa:ki	iʃtiɾa:kim				l
iştiyak											l
işünüş											l
işve			iʃve		iʃvejim	iʃveji	iʃvem				l
işveren											l
isabet			isa:bet	isa:bettʃi	isa:betim	isa:beti	isa:betim				l
isaga											l
isal											l
isale											l
antant			antant		antantɯm	antantɯ	antantɯm				l
isar											l
isbat											l
ise			ise								l
isevî											l
isfenc											l
isfendan											l
isfenks			sɯxfenks	sɯxfenkstʃi	sɯxfenksim	sɯxfenksi	sɯxfenksim				l
isga											l
ishak											l
ishakkuşu											l
anten											l
ishal											l
isilik											l
isim			isim	isimdʒi	isimim	ismi	ismim				l
isir											l
isk-											l
iska											l
iskân											l
iskât											l
iskalarya											l
iskambil											l
antepfıstığı			antepfɯstɯɯ		antepfɯstɯɯjɯm	antepfɯstɯɯnɯ	antepfɯstɯɯm				l
iskandil			iskandiɫ	iskandiɫdʒi	iskandiɫim	iskandiɫi	iskandiɫim				l
iskarça											l
iskarmos			ɯskaɾmoz		ɯskaɾmozum	ɯskaɾmozu	ɯskaɾmozum				l
iskarpelâ											l
iskarpin											l
iskeç											l
iskefe											l
iskele			iskeɫe		iskeɫejim	iskeɫeji	iskeɫem				l
iskelet			iskeɫet	iskeɫettʃi	iskeɫetim	iskeɫeti	iskeɫetim				l
iskemle											l
anterit											l
iskender											l
iskerlet											l
iskete			iskete		isketejim	isketeji	isketem				l
iskoç			iskotʃ		iskotʃum	iskotʃu	iskotʃum				l
iskonto			iskonto		iskontojum	iskontoju	iskontom				l
iskorbüt											l
iskorbut											l
iskorçina											l
iskorpit			iskoɾpit	iskoɾpittʃi	iskoɾpitim	iskoɾpiti	iskoɾpitim				l
iskota											l
anterlin											l
islâm			islam		isla:mɯm	isla:mɯ	isla:mɯm				l
islemek											l
islim			isɫim	isɫimdʒi	isɫimim	isɫimi	isɫimim				l
ismen											l
ismet											l
ismi											l
isnad											l
isnat											l
iso-											l
isp-											l
antet											l
ispalya											l
ispanya			ispanja	ispanjadʒɯ	ispanjajɯm	ispanjajɯ	ispanjam				l
ispanyol			ispanjoɫ	ispanjoɫdʒu	ispanjoɫum	ispanjoɫu	ispanjoɫum				l
ispanyolet											l
ispaolo											l
ispari											l
ispat											l
ispati											l
ispatlamak											l
ispazmos											l
anti-											l
ispenc			ispentʃ	ispentʃtʃi	ispendʒim	ispendʒi	ispendʒim				l
ispenç											l
ispençiyar											l
ispenciyar											l
ispendik			ispendek	ispendektʃi	ispendeim	ispendei	ispendeim				l
ispermeçet			ispeɾmetʃet	ispeɾmetʃettʃi	ispeɾmetʃetim	ispeɾmetʃeti	ispeɾmetʃetim				l
ispinoz			ispinoz		ispinozum	ispinozu	ispinozum				l
ispir											l
ispiralya											l
ispirto											l
