lexeme	etymology	ulcase	id	source
vey!	Fr	l		ap
a@ri@z	Ar	l	10	gh
ansuit	Fr en suite	l	1000	oxford
is@tes@	Oldt	l	10000	ize
is@tial	Ar	l	10001	mno1
is@tibah	Ar	l	10003	mno1
is@tidad	Ar	l	10004	mno1
is@tigal	Ar	l	10005	mno1
is@tiha	Ar	l	10006	mno1
is@tihar	Ar	l	10007	mno1
is@tika@	Ar	l	10008	mno1
is@tikak	Ar	l	10009	mno1
ant	Mon	l	1001	ize
is@tira	Ar	l	10010	mno1
is@tirak	Ar	l	10011	ize
is@tiyak	Ar	l	10012	mno1
is@ve	Ar	l	10014	mno1
isabet	Ar	l	10016	ize
isaga	Ar	l	10017	mno1
isal	Ar	l	10018	mno1
isale	Ar	l	10019	mno1
antant	Rom	l	1002
isar	Ar	l	10020	mno1
isbat	Ar	l	10021	mno1
ise	Tr	l	10022	ize
isevi@@	Ar	l	10023	mno1
isfenc	Fars	l	10024	mno1
isfendan	Fars	l	10025	mno1
isfenks	Yun	l	10026	tdk
anten	Rom	l	1003
ishal	Ar	l	10030	mno1
isim	Ar	l	10032	mno1
isir	Ar	l	10033	mno1
iska	Ar	l	10035	mno1
iska@n	Ar	l	10036	mno1
iska@t	Ar	l	10037	mno1
iskalarya	Itl	l	10038	ap
iskambil	Fr briscambile	l	10039	ap
antepfi@sti@g@i@	? + fars	l	1004	?; tdk
iskandil	Itl	l	10040	ap
iskarpela@	Itl	l	10043	ap
iskarpin	Fr escapin	l	10044	ize
iskec@	Br	l	10045	ym
iskele	Itl scala	l	10047	ize
iskelet	Yun	l	10048	ize
iskemle	Lat scamellum	l	10049	ize
anterit	Rom	l	1005
iskerlet	Lat	l	10051	ap
iskete	Yun	l	10052	ap
iskonto	Br	l	10054	ym
iskorbu@t	Fr	l	10055	ap
iskorbut	Fr	l	10056	ap
iskorc@ina	Itl	l	10057	ap
iskorpit	Yun	l	10058	ize
iskota	Itl	l	10059	ap
anterlin	Rom	l	1006
isla@m	Ibr	l	10060	ize
islim	Ing steam	l	10062	ize
ismen	Ar	l	10063	mno1
ismet	Ar	l	10064	mno1
ismi	Ar	l	10065	mno1
isnad	Ar	l	10066	mno1
isnat	Ar	l	10067	mno1
antet	Fr	l	1007	ap
ispalya	Br	l	10070	ym
ispanyolet	Fr	l	10073	ap
ispaolo	Br	l	10074	ym
ispat	Ar	l	10076	ize
ispati	Yun	l	10077	ap
ispazmos	Br	l	10079	ym
ispenc	Unknown	l	10080	ap
ispenc@	Unknown	l	10081	ap
ispenc@iyar	Itl	l	10082	ap
ispenciyar	Itl	l	10083	ap
ispendik	Unknown	l	10084	ap
ispermec@et	Itl	l	10085	ap
ispinoz	Yun	l	10086	ize
ispir	Itl	l	10087	ap
ispiralya	Itl	l	10088	ap
ispirto	Itl	l	10089	ap
antik	Fr antique	l	1009	ize
ispit	Yun	l	10090	ap
ispitalya	Br	l	10091	ym
ispiyon	Fr	l	10092	ap
isporcu	Ing	l	10093	ap
ispritizma	Fr	l	10094	ap
israf	Ar	l	10095	mno1
israfil	Ar	l	10096	mno1
istadya	Itl	l	10098	ym
istaka	Itl	l	10099	ap
antika	Fr antique	l	1010	ize
istakoz	Yun	l	10100	ap
istala@ktit	Br	l	10101	ym
istalagmit	Br	l	10102	ym
istampa	Br	l	10105	ym
istasyon	Fr	l	10107	ap
istatistik	Fr	l	10108	ap
istavrit	Yun	l	10109	ap
antikiklon	Rom	l	1011
istavroz	Yun	l	10110	ap
isteka	Itl	l	10113	ap
istemek	Tr	l	10117	ize
antilop	Fr < yun	l	1012	tdk
istep	Br	l	10123	ym
isteri	Fr	l	10125	ap
isterlin	Br	l	10126	ym
istitaf	Ar	l	10128	mno1
isti@ktab	Ar	l	10129	mno1
antimanyetik	Rom	l	1013
isti@tla	Ar	l	10130	mno1
istiab	Ar	l	10131	mno1
istiane	Ar	l	10132	mno1
istiap	Ar	l	10133	mno1
istiare	Ar	l	10134	mno1
istibad	Ar	l	10135	mno1
istibat	Ar	l	10136	mno1
istibdad	Ar	l	10137	mno1
istibdal	Ar	l	10138	mno1
istibdat	Ar	l	10139	mno1
antlas@ma	Mon-tr-tr	l	1014	ize
istical	Ar	l	10140	mno1
isticar	Ar	l	10141	mno1
isticvab	Ar	l	10142	mno1
isticvap	Ar	l	10143	mno1
istida	Ar	l	10144	mno1
istidad	Ar	l	10145	mno1
istidat	Ar	l	10146	mno1
istidla@l	Ar	l	10147	mno1
istidlal	Ar	l	10148	mno1
istif	Lat stipo	l	10149	ize
antoloji	Rom	l	1015
istifa	Ar	l	10150	ize
istifade	Ar	l	10151	ize
istifham	Ar	l	10153	mno1
istifrag@	Ar	l	10155	mno1
istifras@	Ar	l	10156	mno1
istifsar	Ar	l	10157	mno1
istifta	Ar	l	10158	mno1
istig@far	Ar	l	10159	mno1
antomolog	Rom	l	1016
istig@lal	Ar	l	10160	mno1
istig@na	Ar	l	10161	mno1
istig@rab	Ar	l	10162	mno1
istig@rak	Ar	l	10163	mno1
istihale	Ar	l	10164	mno1
istihare	Ar	l	10165	mno1
istihbar	Ar	l	10166	mno1
istihdaf	Ar	l	10167	mno1
istihdam	Ar	l	10168	mno1
istihfaf	Ar	l	10169	mno1
antraks	Rom	l	1017
istihka@m	Ar	l	10170	mno1
istihkak	Ar	l	10171	mno1
istihkar	Ar	l	10172	mno1
istihla@f	Ar	l	10173	mno1
istihla@k	Ar	l	10174	mno1
istihla@l	Ar	l	10175	mno1
istihla@s	Ar	l	10176	mno1
istihlak	Ar	l	10177	mno1
istihmam	Ar	l	10178	mno1
istihrac	Ar	l	10179	mno1
antrakt	Rom	l	1018
istihrac@	Ar	l	10180	mno1
istihsal	Ar	l	10181	mno1
istihsan	Ar	l	10182	mno1
istihza	Ar	l	10183	mno1
istihzar	Ar	l	10184	mno1
istikamet	Ar	l	10186	mno1
istikbal	Ar	l	10187	mno1
