lexeme	root	id	ulcase
zu@rih	zu@rih		l
is@tes@	is@tes@	10000	l
is@tial	is@tial	10001	l
is@tigal	is@tigal	10005	l
is@tikak	is@tikak	10009	l
ant	ant	1001	l
is@tirak	is@tirak	10011	l
is@tiyak	is@tiyak	10012	l
is@ve	is@ve	10014	l
is@veren	is@veren	10015	l
isabet	isabet	10016	l
antant	antant	1002	l
isar	isar	10020	l
ise	ise	10022	l
isfendan	isfendan	10025	l
ishak	ishak	10028	l
ishakkus@u	ishakkus@	10029	l
anten	anten	1003	l
ishal	ishal	10030	l
isilik	isilik	10031	l
isim	isim	10032	l
iska@n	iska@n	10036	l
iskalarya	iskalarya	10038	l
iskambil	iskambil	10039	l
antepfi@sti@g@i@	antepfi@sti@k	1004	l
iskandil	iskandil	10040	l
iskarc@a	iskarc@a	10041	l
iskarpin	iskarpin	10044	l
iskec@	iskec@	10045	l
iskele	iskele	10047	l
iskelet	iskelet	10048	l
iskemle	iskemle	10049	l
anterit	anterit	1005	l
iskender	iskender	10050	l
iskerlet	iskerlet	10051	l
iskete	iskete	10052	l
iskoc@	iskoc@	10053	l
iskonto	iskonto	10054	l
iskorbu@t	iskorbu@t	10055	l
iskorc@ina	iskorc@ina	10057	l
iskorpit	iskorpit	10058	l
iskota	iskota	10059	l
anterlin	anter	1006	l
islemek	is	10061	l
islim	islim	10062	l
ismen	ismen	10063	l
ismet	ismet	10064	l
ismi	isim	10065	l
isnat	isnat	10067	l
antet	antet	1007	l
ispalya	ispalya	10070	l
ispanya	ispanya	10071	l
ispanyol	ispanyol	10072	l
ispanyolet	ispanyolet	10073	l
ispari	ispari	10075	l
ispat	ispat	10076	l
ispati	ispati	10077	l
ispatlamak	ispatla	10078	l
ispenc@	ispenc@	10081	l
ispenc@iyar	ispenc@iyar	10082	l
ispendik	ispendik	10084	l
ispermec@et	ispermec@et	10085	l
ispinoz	ispinoz	10086	l
ispir	ispir	10087	l
ispiralya	ispiralya	10088	l
ispirto	ispirto	10089	l
antik	antik	1009	l
ispit	ispit	10090	l
ispiyon	ispiyon	10092	l
ispritizma	ispritizma	10094	l
israf	israf	10095	l
israfil	israfil	10096	l
israil	israil	10097	l
ac@i@ci@	ac@	101	l
antika	antika	1010	l
istakoz	istakoz	10100	l
istala@ktit	istala@ktit	10101	l
istalagmit	istalagmit	10102	l
istanbulin	istanbulin	10106	l
istasyon	istasyon	10107	l
istatistik	istatistik	10108	l
istavrit	istavrit	10109	l
antikiklon	antikiklon	1011	l
istavroz	istavroz	10110	l
istek	istek	10112	l
isteka	isteka	10113	l
isteklendirmek	istek	10114	l
istem	istem	10115	l
isteme	iste	10116	l
istemek	iste	10117	l
istemli	istem	10118	l
istenc@	istenc@	10119	l
antilop	antilop	1012	l
istence	istenc@	10120	l
istenilmek	iste	10121	l
istenmek	iste	10122	l
ister	iste	10124	l
isteri	isteri	10125	l
isterlin	ister	10126	l
istetmek	iste	10127	l
istiap	istiap	10133	l
istiare	istiare	10134	l
istibdat	istibdat	10139	l
antlas@ma	ant	1014	l
istical	istical	10140	l
isticar	isticar	10141	l
isticvap	isticvap	10143	l
istida	istida	10144	l
istidat	istidat	10146	l
istidlal	istidlal	10148	l
istif	istif	10149	l
antoloji	antoloji	1015	l
istifa	istifa	10150	l
istifade	istifade	10151	l
istifc@i	istif	10152	l
istifham	istifham	10153	l
istiflemek	istifle	10154	l
istig@far	istig@far	10159	l
istig@na	istig@na	10161	l
istig@rak	istig@rak	10163	l
istihare	istihare	10165	l
istihdaf	istihdaf	10167	l
istihdam	istihdam	10168	l
istihfaf	istihfaf	10169	l
istihka@m	istihka@m	10170	l
istihkak	istihkak	10171	l
istihkar	istihkar	10172	l
istihlak	istihlak	10177	l
antrakt	antrakt	1018	l
istihrac@	istihrac@	10180	l
istihsal	istihsal	10181	l
istihza	istihza	10183	l
istika	istika	10185	l
istikamet	istikamet	10186	l
istikbal	istikbal	10187	l
istiklal	istiklal	10189	l
antrasit	antrasit	1019	l
istikra	istikra	10192	l
istikrah	istikrah	10193	l
istikrar	istikrar	10194	l
istikraz	istikraz	10195	l
istiks@af	istiks@af	10196	l
istila	istila	10198	l
ac@i@k	ac@i@k	102	l
istim	is	10203	l
istimal	istimal	10205	l
antre	antre	1021	l
istimbot	istimbot	10210	l
istimdat	istimdat	10212	l
istimlak	istimlak	10215	l
istimzac@	istimzac@	10218	l
istinabe	istinabe	10219	l
antrenman	antrenman	1022	l
istinaden	istinaden	10221	l
istinaf	istinaf	10222	l
istinat	istinat	10225	l
istinga	istinga	10227	l
istinka@f	istinka@f	10228	l
istinsah	istinsah	10229	l
antreno@r	antreno@r	1023	l
istintac@	istintac@	10231	l
istintak	istintak	10232	l
istirahat	istirahat	10233	l
